Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Medium,restaurant type,Order Time,Meal,Perference,Ease and convenient,avg cost (two people),order_hour_of_day,days_since_prior_order,Cities
,Male,Married,Employee,10001 to 25000,Post Graduate,2,Zomato,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,500,17,29,Tier 1
34,Female,Married,Employee,25001 to 50000,Graduate,5,ONDC,"Desert Parlor, Quick Bites",Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),,100,16,1,Tier 2
21,Female,Single,Student,No Income,Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,150,12,23,Tier 3
23,Female,Single,Employee,25001 to 50000,Graduate,4,Swiggy,,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,200,14,22,Tier 1
,Female,Married,Student,No Income,Ph.D,6,ONDC,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,300,18,30,Tier 2
23,Male,Single,Employee,Below Rs.10000,Post Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,300,14,7,Tier 1
31,Female,Married,Employee,More than 50000,Graduate,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,300,14,30,Tier 2
29,Male,Married,Student,No Income,Ph.D,6,ONDC,Quick Bites,Weekend (Sat & Sun),,Veg foods (Breakfast / Lunch / Dinner),Agree,400,12,23,Tier 2
33,Female,Married,Employee,25001 to 50000,Post Graduate,6,Swiggy,Cafe,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1100,16,27,Tier 2
25,Female,Single,Student,No Income,Ph.D,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,200,10,11,Tier 2
30,Female,Married,Student,No Income,Ph.D,5,ONDC,Desert Parlor,Weekend (Sat & Sun),Breakfast,Non Veg foods (Lunch / Dinner),Disagree,3000,11,21,Tier 1
38,Male,Married,Student,No Income,Ph.D,,Swiggy,Desert Parlor,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,250,9,30,Tier 2
28,Male,Married,home maker,No Income,Graduate,2,Zomato,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,600,18,7,Tier 1
22,Male,Single,Self Employeed,10001 to 25000,Graduate,3,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Neutral,250,15,20,Tier 2
34,Female,Single,Employee,Below Rs.10000,Post Graduate,6,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Sweets,Agree,500,13,29,Tier 3
21,Male,Single,Employee,25001 to 50000,Graduate,3,Swiggy,"Casual Dining, Bar",Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly disagree,1500,14,30,Tier 3
36,Male,Married,Student,No Income,Ph.D,3,Swiggy,"Microbrewery, Desert Parlor",Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,1700,18,30,Tier 2
40,Female,Married,Employee,,Post Graduate,2,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,,14,15,Tier 3
31,Male,Married,Self Employeed,,Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,400,16,9,Tier 2
34,Male,Married,Student,No Income,Ph.D,6,Zomato,Desert Parlor,Anytime (Mon-Sun),Lunch,,Agree,250,14,7,Tier 1
25,Male,Single,Employee,25001 to 50000,Post Graduate,3,Zomato,Quick Bites,,Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,300,8,9,Tier 2
32,Female,Married,Student,No Income,Ph.D,5,Zomato,Takeaway,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,600,17,30,Tier 1
20,Male,Single,Employee,10001 to 25000,Graduate,2,Swiggy,Takeaway,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,300,7,30,Tier 2
20,Male,Single,Student,No Income,Graduate,2,Zomato,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,300,11,7,Tier 3
29,Female,Married,Employee,25001 to 50000,Post Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,300,20,22,Tier 1
32,Male,Married,Employee,More than 50000,Graduate,6,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,1100,12,2,Tier 1
23,Male,Single,Employee,More than 50000,Post Graduate,6,Swiggy,Cafe,Weekdays (Mon-Fri),Lunch,Non Veg foods (Lunch / Dinner),Agree,500,18,7,Tier 3
26,Female,Single,Employee,25001 to 50000,Post Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,400,18,30,Tier 1
34,Female,Married,Employee,More than 50000,Graduate,5,Zomato,"Bar, Casual Dining",Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,1000,11,27,Tier 3
22,Female,Single,Employee,25001 to 50000,Graduate,4,Zomato,,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,150,16,4,Tier 2
38,Female,Married,Employee,More than 50000,Post Graduate,5,Swiggy,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Disagree,300,16,14,Tier 3
30,Male,Married,Student,No Income,Ph.D,3,Zomato,Quick Bites,Weekend (Sat & Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,300,11,30,Tier 1
,Male,Single,Student,No Income,Ph.D,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Veg foods (Breakfast / Lunch / Dinner),Agree,100,18,30,Tier 2
28,Female,Single,Student,No Income,Ph.D,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,80,13,18,Tier 3
24,Male,Married,Employee,More than 50000,Graduate,6,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,200,16,30,Tier 1
33,Female,Married,Employee,10001 to 25000,Post Graduate,3,ONDC,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,150,14,16,Tier 1
37,Male,Married,Employee,10001 to 25000,Graduate,4,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,1700,7,30,Tier 1
28,Female,Single,Self Employeed,More than 50000,Graduate,3,Swiggy,Quick Bites,,Lunch,Non Veg foods (Lunch / Dinner),Disagree,200,17,30,Tier 1
34,Female,Married,Student,No Income,Ph.D,2,ONDC,casual dining,Anytime (Mon-Sun),,Non Veg foods (Lunch / Dinner),Strongly agree,300,13,8,Tier 1
30,Female,Married,Student,No Income,Ph.D,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Disagree,250,19,20,Tier 2
27,Male,Single,Employee,10001 to 25000,Post Graduate,2,Swiggy,"Bar, Casual Dining",Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1500,,4,Tier 2
31,Female,Married,Self Employeed,Below Rs.10000,Post Graduate,5,Zomato,Desert Parlor,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,2500,16,27,Tier 2
21,Female,Single,Employee,25001 to 50000,Graduate,4,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,1000,11,7,Tier 2
27,Female,Single,Student,No Income,Ph.D,6,Zomato,Casual Dining,Anytime (Mon-Sun),Breakfast,,Agree,1300,14,24,Tier 2
33,Female,Married,Student,No Income,Ph.D,4,Swiggy,,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,1200,8,12,Tier 1
35,Female,Married,home maker,No Income,Post Graduate,5,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,650,18,8,Tier 2
36,Male,Married,Student,No Income,Ph.D,5,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1600,11,30,Tier 2
23,Male,Single,Student,No Income,Graduate,6,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,700,13,7,Tier 1
29,Female,Married,Employee,Below Rs.10000,Graduate,3,Swiggy,Bar,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,1300,9,8,Tier 1
21,Female,Married,Employee,25001 to 50000,Graduate,5,Zomato,"Bar, Casual Dining",Anytime (Mon-Sun),Snacks,,Agree,1500,14,14,Tier 2
37,Female,Married,Self Employeed,,Graduate,2,Zomato,Cafe,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,300,18,2,Tier 3
30,Female,Married,Employee,10001 to 25000,Graduate,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,1000,15,6,Tier 2
29,Male,Married,Student,No Income,Ph.D,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,,21,21,Tier 2
30,Male,Married,Employee,25001 to 50000,Graduate,4,Zomato,Cafe,Anytime (Mon-Sun),Dinner,,Agree,1000,17,28,Tier 2
30,Female,Married,Student,No Income,,6,ONDC,"Desert Parlor, Microbrewery",Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,2000,20,3,Tier 1
34,Female,Married,Student,No Income,Ph.D,6,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Disagree,200,8,16,Tier 1
35,Male,Married,Employee,10001 to 25000,Post Graduate,6,Swiggy,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,7,28,Tier 3
33,Female,Married,Student,No Income,Ph.D,2,Swiggy,Quick Bites,Weekend (Sat & Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,250,21,30,Tier 2
35,Male,,Student,No Income,Ph.D,2,Zomato,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,150,9,3,Tier 1
33,Female,Married,Employee,Below Rs.10000,Graduate,2,ONDC,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,200,17,10,Tier 1
27,Female,Single,Student,No Income,Ph.D,4,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,250,17,7,Tier 3
33,Female,Married,Student,No Income,Ph.D,5,Swiggy,"Cafe, Quick Bites",Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,800,16,12,Tier 2
28,Male,Single,Self Employeed,,Graduate,5,ONDC,Takeaway,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,14,30,Tier 2
38,Male,Married,Self Employeed,25001 to 50000,Graduate,3,Swiggy,Desert Parlor,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,250,16,30,Tier 2
,Male,Married,Student,No Income,Ph.D,6,Zomato,Casual Dining,Weekend (Sat & Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,800,0,8,Tier 1
32,Male,Married,Student,No Income,Ph.D,6,Zomato,Takeaway,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,500,19,30,Tier 2
22,Female,Single,Employee,10001 to 25000,Graduate,4,Zomato,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,900,22,4,Tier 1
27,Female,Single,Self Employeed,More than 50000,Post Graduate,3,Zomato,Takeaway,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,350,18,2,Tier 3
26,Female,Single,Employee,25001 to 50000,Post Graduate,,Zomato,Quick Bites,Weekend (Sat & Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,250,19,30,Tier 1
38,Male,Married,Student,No Income,Ph.D,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),,500,12,0,Tier 2
36,,Married,Student,No Income,Ph.D,4,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,950,16,12,Tier 1
39,Male,Married,Student,No Income,Ph.D,3,Swiggy,Casual Dining,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,600,19,30,Tier 1
39,Female,Married,Employee,More than 50000,Graduate,2,ONDC,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,300,16,30,Tier 3
40,Female,Married,Student,No Income,Ph.D,5,Swiggy,Desert Parlor,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,350,8,27,Tier 3
24,Male,Single,Self Employeed,More than 50000,Graduate,4,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,400,6,3,Tier 1
30,Female,Married,Student,No Income,Ph.D,6,ONDC,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,350,16,29,Tier 2
34,Male,Married,Student,No Income,Ph.D,6,Swiggy,Casual Dining,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,600,16,5,Tier 2
32,Male,Married,Student,No Income,Ph.D,3,Zomato,Quick Bites,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,600,17,30,Tier 1
21,Female,,Student,No Income,Graduate,6,Swiggy,Quick Bites,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly disagree,500,14,30,Tier 1
32,Male,Married,Employee,Below Rs.10000,Graduate,6,Zomato,Casual Dining,Weekdays (Mon-Fri),Snacks,Veg foods (Breakfast / Lunch / Dinner),Disagree,700,12,30,Tier 3
27,Male,Single,Employee,More than 50000,Graduate,4,Swiggy,Quick Bites,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,400,16,15,Tier 3
22,Male,Single,Employee,10001 to 25000,Graduate,2,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,1400,10,19,Tier 3
37,Female,Prefer not to say,Student,No Income,Ph.D,3,ONDC,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,1100,13,30,Tier 1
33,Female,Married,Employee,More than 50000,Post Graduate,3,Zomato,Fine Dining,Weekdays (Mon-Fri),Breakfast,Non Veg foods (Lunch / Dinner),Agree,2400,13,13,Tier 1
25,Female,Single,Student,,Ph.D,2,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,400,10,7,Tier 2
22,Female,Single,Employee,More than 50000,Graduate,6,Swiggy,Food Truck,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,200,10,30,Tier 2
40,Female,Married,Student,No Income,Ph.D,6,ONDC,Casual Dining,Weekend (Sat & Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),,1500,,30,Tier 3
35,Female,Married,Employee,10001 to 25000,Post Graduate,6,Swiggy,"Casual Dining, Microbrewery",Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,1500,10,3,Tier 2
29,Male,Married,Employee,10001 to 25000,Graduate,6,Swiggy,Takeaway,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Neutral,400,11,19,Tier 2
23,Female,Single,,25001 to 50000,Graduate,2,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,150,16,30,Tier 2
24,Male,Single,Student,No Income,Graduate,,ONDC,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,650,,5,Tier 2
37,Female,Married,Employee,More than 50000,Graduate,2,Zomato,Quick Bites,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),,250,15,19,Tier 1
22,Female,Single,Student,No Income,Graduate,4,Zomato,Cafe,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),,700,8,30,Tier 2
39,Male,Married,Employee,10001 to 25000,Graduate,5,Swiggy,Cafe,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,600,14,30,Tier 3
28,Female,Single,Student,No Income,Ph.D,3,ONDC,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Disagree,1000,9,26,Tier 1
37,Female,Married,Student,No Income,Ph.D,4,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,450,10,30,Tier 1
37,Male,Married,Student,No Income,Ph.D,5,Swiggy,"Casual Dining, Bar",Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,1000,0,26,Tier 1
40,Male,Married,Employee,10001 to 25000,Graduate,5,,Bar,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,2200,13,20,Tier 1
35,Male,Married,Student,No Income,Ph.D,2,Zomato,Beverage Shop,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,300,13,13,Tier 2
25,Male,Married,Student,No Income,Ph.D,4,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Neutral,500,9,30,Tier 1
37,Male,Married,Employee,10001 to 25000,Post Graduate,4,Swiggy,Takeaway,Anytime (Mon-Sun),Breakfast,Veg foods (Breakfast / Lunch / Dinner),Agree,650,17,8,Tier 2
20,Male,Single,Employee,10001 to 25000,Graduate,6,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),,850,14,10,Tier 3
36,Male,Married,Student,No Income,Ph.D,2,Swiggy,Casual Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,800,10,3,Tier 1
33,Female,Married,Student,No Income,Ph.D,4,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Disagree,700,17,25,Tier 3
32,Female,Married,Employee,25001 to 50000,Post Graduate,6,Swiggy,Desert Parlor,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,400,9,30,Tier 1
28,Female,Single,Self Employeed,Below Rs.10000,Post Graduate,5,Zomato,Desert Parlor,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,400,12,30,Tier 1
29,Female,Married,Self Employeed,More than 50000,Graduate,2,Swiggy,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1000,11,1,Tier 1
36,Female,Married,Employee,More than 50000,Post Graduate,2,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Neutral,600,9,8,Tier 2
38,Female,Married,Student,No Income,,3,ONDC,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,400,13,24,Tier 1
33,Male,Married,Student,No Income,Ph.D,5,Swiggy,Takeaway,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,400,11,15,Tier 1
36,Male,Married,Employee,More than 50000,Graduate,4,ONDC,Takeaway,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,600,14,2,Tier 1
35,Female,Married,Employee,25001 to 50000,Graduate,6,Swiggy,Food Truck,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,300,18,14,Tier 1
40,Female,Married,Self Employeed,10001 to 25000,Graduate,4,Zomato,Desert Parlor,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,300,17,30,Tier 2
27,Female,Single,Student,No Income,Ph.D,4,Zomato,Quick Bites,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,300,17,0,Tier 1
,Male,,Self Employeed,More than 50000,Graduate,6,Swiggy,Fine Dining,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,2500,18,30,Tier 1
38,Male,Married,Student,No Income,Ph.D,4,ONDC,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,150,22,30,Tier 3
25,Male,Single,Employee,25001 to 50000,Post Graduate,4,ONDC,"Desert Parlor, Quick Bites",Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,15,25,Tier 2
28,Male,Single,Student,No Income,Ph.D,3,ONDC,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,600,14,10,Tier 2
33,Female,,Student,No Income,Ph.D,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,400,15,7,Tier 1
38,Male,Married,Student,No Income,Ph.D,2,Swiggy,"Desert Parlor, Cafe",Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Disagree,1400,16,9,Tier 3
22,Male,Single,,More than 50000,Graduate,4,Zomato,,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,150,7,7,Tier 3
33,Female,Married,Student,No Income,Ph.D,,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,300,18,4,Tier 3
33,Male,Married,Employee,10001 to 25000,Graduate,2,Swiggy,,Weekdays (Mon-Fri),Snacks,Non Veg foods (Lunch / Dinner),Disagree,700,16,30,Tier 2
37,Male,Married,Student,No Income,Ph.D,5,Zomato,Casual Dining,Weekend (Sat & Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Disagree,1500,12,7,Tier 2
26,Female,Single,Student,No Income,Ph.D,4,ONDC,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Neutral,,15,30,Tier 2
38,Female,Married,Student,No Income,Ph.D,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,300,12,22,Tier 3
32,Female,Married,Student,No Income,Ph.D,,Swiggy,Casual Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,1800,17,6,Tier 1
36,Female,Married,Student,No Income,Ph.D,2,Swiggy,Casual Dining,,Snacks,Non Veg foods (Lunch / Dinner),Agree,700,19,6,Tier 1
23,Male,Single,Employee,10001 to 25000,Graduate,2,ONDC,Casual Dining,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Disagree,600,10,30,Tier 1
21,Male,Single,Employee,25001 to 50000,Graduate,,Zomato,,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,400,23,6,Tier 2
39,Male,Married,Student,No Income,Ph.D,4,Zomato,Desert Parlor,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,400,19,27,Tier 2
35,Female,,Student,No Income,Ph.D,,Swiggy,"Casual Dining, Cafe",Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,900,13,7,Tier 3
26,Male,,Student,No Income,Ph.D,,Zomato,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,400,17,30,Tier 1
24,Male,Single,Employee,More than 50000,Graduate,4,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,400,,30,Tier 2
34,Male,Prefer not to say,Employee,More than 50000,Post Graduate,5,Swiggy,Bar,Anytime (Mon-Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,1500,13,30,Tier 1
31,Male,Married,Student,No Income,Ph.D,5,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,200,19,13,Tier 1
25,Male,Single,Employee,25001 to 50000,Graduate,6,ONDC,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,300,13,3,Tier 3
40,Male,Married,,More than 50000,Post Graduate,2,,Quick Bites,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,250,11,15,Tier 3
28,Male,Single,,Below Rs.10000,Graduate,5,Zomato,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,300,8,6,Tier 1
24,Female,Single,Employee,25001 to 50000,Graduate,6,Swiggy,"Casual Dining, Cafe",Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,900,12,30,Tier 3
34,Female,Married,Self Employeed,10001 to 25000,Post Graduate,5,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Veg foods (Breakfast / Lunch / Dinner),Disagree,600,14,30,Tier 1
40,Female,Married,Student,No Income,Ph.D,2,Zomato,Desert Parlor,Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,1600,8,30,Tier 2
28,Female,Single,Self Employeed,10001 to 25000,Graduate,2,Swiggy,"Casual Dining, Bar",Weekend (Sat & Sun),Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,1600,10,14,Tier 1
23,Female,Single,Self Employeed,Below Rs.10000,Graduate,6,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Disagree,300,12,30,Tier 1
24,Female,Single,Employee,25001 to 50000,Graduate,6,Zomato,Casual Dining,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,800,12,30,Tier 1
26,Male,Single,Self Employeed,More than 50000,Post Graduate,2,Swiggy,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,600,16,6,Tier 1
38,Male,,Self Employeed,25001 to 50000,Graduate,3,Zomato,Casual Dining,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Disagree,600,11,30,Tier 2
26,Male,Single,Employee,Below Rs.10000,Graduate,4,Zomato,"Casual Dining, Bar",Weekend (Sat & Sun),Snacks,Non Veg foods (Lunch / Dinner),Agree,1100,,30,Tier 2
33,Female,Married,Student,No Income,Ph.D,2,Swiggy,Food Truck,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,200,13,30,Tier 2
28,Female,Single,Employee,More than 50000,Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,400,16,4,Tier 1
28,Female,Single,Student,No Income,Ph.D,6,Swiggy,Quick Bites,Anytime (Mon-Sun),Breakfast,Non Veg foods (Lunch / Dinner),Agree,250,7,22,Tier 1
40,Female,Married,Student,No Income,Ph.D,4,ONDC,Quick Bites,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Disagree,150,9,30,Tier 1
26,Female,Single,Student,No Income,Ph.D,6,Zomato,Takeaway,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,300,14,5,Tier 2
