"Age","Gender","Marital_Status","Occupation","Monthly_Income","Education","Family_Size","Medium","Restaurant_Type","Order_Time","Meal","Preference","Ease_Convenient","Avg_Cost","Order_Hour","Days_Since_Prior","Cities","Income_Level","Time_Period","Cost_Category","Order_Frequency","City_Tier","High_Demand_Area"
28,"Male","Single","Employee","25001 to 50000","Post Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",250,6,6,"Tier 3",4,"Morning","Low","Frequent",3,"0"
25,"Female","Single","Employee","More than 50000","Post Graduate",6,"ONDC","Quick Bites","Weekdays (MonFri)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly disagree",250,9,7,"Tier 1",5,"Morning","Low","Frequent",1,"1"
22,"Male","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",450,11,30,"Tier 1",1,"Morning","High","Infrequent",1,"1"
22,"Female","Single","Student","No Income","Graduate",6,"Swiggy","Takeaway","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",500,13,30,"Tier 1",1,"Afternoon","High","Infrequent",1,"1"
22,"Male","Single","Student","Below Rs.10000","Post Graduate",4,"Zomato","Food Truck","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",400,12,30,"Tier 3",2,"Afternoon","Medium","Infrequent",3,"0"
27,"Female","Married","Employee","More than 50000","Post Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",400,9,28,"Tier 2",5,"Morning","Medium","Infrequent",2,"1"
22,"Male","Single","Student","No Income","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly agree",300,22,6,"Tier 1",1,"Night","Low","Frequent",1,"1"
24,"Female","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",300,10,8,"Tier 3",1,"Morning","Low","Frequent",3,"0"
23,"Female","Single","Student","No Income","Post Graduate",2,"ONDC","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",300,8,8,"Tier 2",1,"Morning","Low","Frequent",2,"1"
23,"Female","Single","Student","No Income","Post Graduate",4,"ONDC","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",300,15,30,"Tier 2",1,"Afternoon","Low","Infrequent",2,"0"
22,"Female","Single","Student","No Income","Post Graduate",5,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,11,30,"Tier 1",1,"Morning","Medium","Infrequent",1,"1"
23,"Male","Single","Student","Below Rs.10000","Post Graduate",2,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",400,17,18,"Tier 1",2,"Evening","Medium","Moderate",1,"1"
32,"Male","Married","Employee","More than 50000","Graduate",5,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,8,14,"Tier 2",5,"Morning","Medium","Moderate",2,"1"
25,"Female","Married","Student","No Income","Post Graduate",2,"Zomato","Casual Dining","Anytime (MonSun)","Snacks","Sweets","Agree",500,15,30,"Tier 2",1,"Afternoon","High","Infrequent",2,"1"
28,"Male","Single","Self Employeed","10001 to 25000","Post Graduate",2,"Zomato","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",300,13,30,"Tier 2",3,"Afternoon","Low","Infrequent",2,"0"
21,"Female","Single","Student","No Income","Post Graduate",3,"Zomato","Quick Bites","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",2000,18,30,"Tier 2",1,"Evening","Premium","Infrequent",2,"1"
24,"Male","Single","Student","No Income","Post Graduate",2,"ONDC","Desert Parlor","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",1000,13,18,"Tier 2",1,"Afternoon","Premium","Moderate",2,"1"
26,"Female","Married","Self Employeed","10001 to 25000","Graduate",5,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Disagree",650,8,2,"Tier 1",3,"Morning","High","Very_Frequent",1,"1"
32,"Male","Married","Employee","25001 to 50000","Graduate",3,"ONDC","Cafe","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",500,13,11,"Tier 2",4,"Afternoon","High","Moderate",2,"1"
29,"Male","Single","Student","More than 50000","Graduate",6,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,16,30,"Tier 2",5,"Afternoon","Medium","Infrequent",2,"1"
21,"Male","Single","Student","No Income","Graduate",5,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",600,19,12,"Tier 3",1,"Evening","High","Moderate",3,"1"
24,"Female","Single","Self Employeed","25001 to 50000","Post Graduate",3,"Swiggy","Desert Parlor","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Disagree",400,22,19,"Tier 2",4,"Night","Medium","Moderate",2,"1"
26,"Male","Prefer not to say","Self Employeed","More than 50000","Post Graduate",2,"Swiggy","Desert Parlor","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",100,10,30,"Tier 1",5,"Morning","Low","Infrequent",1,"0"
21,"Male","Married","Employee","More than 50000","Ph.D",3,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",150,17,16,"Tier 3",5,"Evening","Low","Moderate",3,"0"
29,"Male","Single","Employee","25001 to 50000","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",300,14,2,"Tier 1",4,"Afternoon","Low","Very_Frequent",1,"1"
22,"Male","Single","Student","No Income","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",300,14,15,"Tier 1",1,"Afternoon","Low","Moderate",1,"1"
24,"Male","Single","Student","No Income","Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly agree",600,16,4,"Tier 2",1,"Afternoon","High","Very_Frequent",2,"1"
27,"Male","Married","Employee","25001 to 50000","Graduate",2,"Zomato","Bar","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",900,21,16,"Tier 1",4,"Night","Premium","Moderate",1,"1"
23,"Female","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Disagree",300,17,21,"Tier 3",1,"Evening","Low","Infrequent",3,"0"
32,"Male","Married","Employee","More than 50000","Post Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",500,9,30,"Tier 1",5,"Morning","High","Infrequent",1,"1"
22,"Female","Single","Student","No Income","Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",300,11,4,"Tier 2",1,"Morning","Low","Very_Frequent",2,"1"
22,"Female","Single","Employee","25001 to 50000","Graduate",4,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",200,12,18,"Tier 1",4,"Afternoon","Low","Moderate",1,"0"
26,"Male","Married","Employee","More than 50000","Graduate",4,"Swiggy","Takeaway","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",250,9,9,"Tier 1",5,"Morning","Low","Frequent",1,"1"
25,"Male","Single","Student","No Income","Ph.D",3,"Swiggy","Desert Parlor","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",100,11,14,"Tier 1",1,"Morning","Low","Moderate",1,"1"
20,"Male","Single","Student","No Income","Graduate",2,"Swiggy","Cafe","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",600,10,30,"Tier 2",1,"Morning","High","Infrequent",2,"1"
29,"Male","Married","Employee","25001 to 50000","Graduate",4,"ONDC","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",300,14,2,"Tier 1",4,"Afternoon","Low","Very_Frequent",1,"1"
23,"Female","Single","Student","No Income","Graduate",1,"Swiggy","Quick Bites","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Strongly disagree",200,16,26,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
25,"Male","Single","Self Employeed","More than 50000","Graduate",2,"Zomato","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,23,14,"Tier 3",5,"Night","Medium","Moderate",3,"1"
29,"Female","Married","Employee","25001 to 50000","Graduate",4,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Disagree",400,6,5,"Tier 1",4,"Morning","Medium","Very_Frequent",1,"1"
27,"Male","Married","Self Employeed","25001 to 50000","Graduate",6,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,22,30,"Tier 1",4,"Night","Medium","Infrequent",1,"1"
25,"Male","Single","Self Employeed","10001 to 25000","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",300,21,30,"Tier 2",3,"Night","Low","Infrequent",2,"0"
21,"Male","Single","Student","No Income","Graduate",2,"ONDC","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",400,17,28,"Tier 3",1,"Evening","Medium","Infrequent",3,"0"
23,"Male","Single","Student","No Income","Graduate",3,"ONDC","Casual Dining","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",300,10,16,"Tier 2",1,"Morning","Low","Moderate",2,"0"
24,"Female","Single","Employee","10001 to 25000","Post Graduate",4,"Zomato","Quick Bites","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",250,9,12,"Tier 1",3,"Morning","Low","Moderate",1,"1"
22,"Male","Married","Self Employeed","10001 to 25000","School",3,"Zomato","Casual Dining","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",350,12,12,"Tier 3",3,"Afternoon","Medium","Moderate",3,"0"
28,"Male","Married","Employee","25001 to 50000","Post Graduate",5,"Zomato","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",600,10,15,"Tier 1",4,"Morning","High","Moderate",1,"1"
26,"Male","Single","Employee","10001 to 25000","Graduate",2,"ONDC","Quick Bites","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",250,17,30,"Tier 1",3,"Evening","Low","Infrequent",1,"0"
22,"Female","Single","Employee","25001 to 50000","Graduate",4,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",400,18,3,"Tier 2",4,"Evening","Medium","Very_Frequent",2,"1"
26,"Male","Married","Employee","More than 50000","Graduate",4,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",700,16,11,"Tier 1",5,"Afternoon","Premium","Moderate",1,"1"
25,"Female","Single","Student","No Income","Ph.D",3,"Zomato","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,17,7,"Tier 3",1,"Evening","Medium","Frequent",3,"1"
20,"Male","Single","Student","No Income","Graduate",2,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",400,15,7,"Tier 2",1,"Afternoon","Medium","Frequent",2,"1"
29,"Male","Married","Employee","25001 to 50000","Graduate",4,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",250,12,30,"Tier 2",4,"Afternoon","Low","Infrequent",2,"0"
23,"Female","Single","Student","No Income","Graduate",1,"Swiggy","Quick Bites","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Strongly disagree",300,17,24,"Tier 1",1,"Evening","Low","Infrequent",1,"0"
25,"Male","Single","Self Employeed","More than 50000","Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",250,8,30,"Tier 1",5,"Morning","Low","Infrequent",1,"0"
29,"Female","Married","Employee","25001 to 50000","Graduate",4,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",300,12,30,"Tier 2",4,"Afternoon","Low","Infrequent",2,"0"
27,"Male","Married","Self Employeed","25001 to 50000","Graduate",6,"ONDC","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",800,10,1,"Tier 2",4,"Morning","Premium","Very_Frequent",2,"1"
25,"Male","Single","Student","10001 to 25000","Graduate",3,"Zomato","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",550,9,29,"Tier 1",3,"Morning","High","Infrequent",1,"1"
21,"Male","Single","Student","No Income","Graduate",2,"Zomato","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",400,14,30,"Tier 1",1,"Afternoon","Medium","Infrequent",1,"1"
24,"Male","Single","Student","No Income","Post Graduate",2,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",400,16,8,"Tier 3",1,"Afternoon","Medium","Frequent",3,"1"
26,"Female","Married","Self Employeed","10001 to 25000","Graduate",5,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Disagree",250,7,30,"Tier 3",3,"Morning","Low","Infrequent",3,"0"
32,"Male","Married","Employee","25001 to 50000","Graduate",3,"ONDC","Takeaway","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",500,10,9,"Tier 2",4,"Morning","High","Frequent",2,"1"
29,"Male","Single","Self Employeed","More than 50000","Graduate",6,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",800,14,30,"Tier 2",5,"Afternoon","Premium","Infrequent",2,"1"
21,"Male","Single","Student","No Income","Graduate",5,"Zomato","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",600,7,30,"Tier 1",1,"Morning","High","Infrequent",1,"1"
24,"Female","Single","Self Employeed","No Income","Post Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Disagree",250,14,30,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
26,"Male","Prefer not to say","Self Employeed","More than 50000","Post Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,21,30,"Tier 1",5,"Night","Medium","Infrequent",1,"1"
31,"Male","Married","Employee","More than 50000","Ph.D",3,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",400,15,12,"Tier 1",5,"Afternoon","Medium","Moderate",1,"1"
29,"Male","Single","Employee","25001 to 50000","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",400,20,6,"Tier 1",4,"Evening","Medium","Frequent",1,"1"
22,"Male","Single","Student","No Income","Graduate",3,"Zomato","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",450,18,30,"Tier 1",1,"Evening","High","Infrequent",1,"1"
24,"Male","Single","Student","No Income","Graduate",2,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly agree",200,13,30,"Tier 3",1,"Afternoon","Low","Infrequent",3,"0"
27,"Male","Married","Employee","25001 to 50000","Graduate",2,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",800,15,8,"Tier 1",4,"Afternoon","Premium","Frequent",1,"1"
23,"Female","Single","Student","No Income","Post Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Disagree",350,16,16,"Tier 2",1,"Afternoon","Medium","Moderate",2,"0"
30,"Male","Married","Employee","More than 50000","Post Graduate",6,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",350,17,25,"Tier 1",5,"Evening","Medium","Infrequent",1,"0"
22,"Female","Single","Student","No Income","Graduate",2,"Swiggy","Casual Dining","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",600,15,2,"Tier 2",1,"Afternoon","High","Very_Frequent",2,"1"
28,"Male","Married","Employee","25001 to 50000","Graduate",3,"Zomato","Cafe","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",300,11,23,"Tier 3",4,"Morning","Low","Infrequent",3,"0"
23,"Female","Single","Student","No Income","Post Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",400,14,30,"Tier 1",1,"Afternoon","Medium","Infrequent",1,"1"
30,"Male","Married","Self Employeed","More than 50000","Graduate",1,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Neutral",600,14,15,"Tier 3",5,"Afternoon","High","Moderate",3,"1"
21,"Male","Single","Student","No Income","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",200,22,6,"Tier 1",1,"Night","Low","Frequent",1,"1"
26,"Female","Married","Employee","Below Rs.10000","Graduate",6,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Disagree",200,11,6,"Tier 2",2,"Morning","Low","Frequent",2,"1"
25,"Male","Single","Self Employeed","More than 50000","School",3,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",400,10,9,"Tier 1",5,"Morning","Medium","Frequent",1,"1"
31,"Male","Prefer not to say","Employee","Below Rs.10000","Graduate",1,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",300,15,4,"Tier 3",2,"Afternoon","Low","Very_Frequent",3,"0"
23,"Female","Single","Employee","25001 to 50000","Post Graduate",2,"Zomato","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",450,21,10,"Tier 3",4,"Night","High","Frequent",3,"1"
22,"Male","Single","Student","Below Rs.10000","Post Graduate",4,"Swiggy","Takeaway","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",250,8,7,"Tier 2",2,"Morning","Low","Frequent",2,"1"
27,"Female","Married","Employee","More than 50000","Post Graduate",2,"Swiggy","Takeaway","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",500,12,3,"Tier 2",5,"Afternoon","High","Very_Frequent",2,"1"
22,"Male","Single","Student","No Income","Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",650,16,6,"Tier 1",1,"Afternoon","High","Frequent",1,"1"
24,"Female","Single","Student","No Income","Post Graduate",3,"ONDC","Casual Dining","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",650,10,30,"Tier 1",1,"Morning","High","Infrequent",1,"1"
23,"Female","Single","Student","No Income","Post Graduate",2,"Zomato","Cafe","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",600,15,27,"Tier 3",1,"Afternoon","High","Infrequent",3,"0"
23,"Female","Single","Student","No Income","Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",400,14,7,"Tier 2",1,"Afternoon","Medium","Frequent",2,"1"
22,"Female","Single","Student","No Income","Post Graduate",5,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",700,18,6,"Tier 1",1,"Evening","Premium","Frequent",1,"1"
23,"Male","Single","Student","Below Rs.10000","Post Graduate",2,"Zomato","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",700,17,9,"Tier 1",2,"Evening","Premium","Frequent",1,"1"
23,"Male","Single","Student","No Income","Post Graduate",5,"ONDC","Casual Dining","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,11,8,"Tier 2",1,"Morning","Medium","Frequent",2,"1"
32,"Female","Married","Employee","Below Rs.10000","Graduate",2,"Zomato","Casual Dining","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Strongly agree",450,13,30,"Tier 1",2,"Afternoon","High","Infrequent",1,"1"
28,"Male","Single","Student","No Income","Ph.D",4,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Veg foods (Breakfast / Lunch / Dinner)","Disagree",400,9,9,"Tier 2",1,"Morning","Medium","Frequent",2,"1"
26,"Male","Single","Student","No Income","Ph.D",6,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",400,12,0,"Tier 3",1,"Afternoon","Medium","Very_Frequent",3,"1"
30,"Female","Married","Student","No Income","Ph.D",6,"Swiggy","Casual Dining","Weekdays (MonFri)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",500,21,30,"Tier 3",1,"Night","High","Infrequent",3,"0"
27,"Male","Single","Student","No Income","Graduate",5,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",200,13,1,"Tier 1",1,"Afternoon","Low","Very_Frequent",1,"1"
28,"Female","Single","Self Employeed","More than 50000","Post Graduate",2,"Swiggy","Casual Dining","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",400,13,30,"Tier 1",5,"Afternoon","Medium","Infrequent",1,"1"
30,"Female","Married","home maker","No Income","Graduate",6,"Zomato","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",200,17,30,"Tier 1",1,"Evening","Low","Infrequent",1,"0"
29,"Male","Married","Employee","10001 to 25000","Graduate",5,"Zomato","Bar","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",1500,9,30,"Tier 2",3,"Morning","Premium","Infrequent",2,"1"
27,"Female","Single","Employee","More than 50000","Graduate",5,"Swiggy","Desert Parlor","Anytime (MonSun)","Dinner","sweets","Agree",300,10,30,"Tier 2",5,"Morning","Low","Infrequent",2,"0"
28,"Female","Single","Employee","25001 to 50000","Graduate",6,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Neutral",450,16,16,"Tier 3",4,"Afternoon","High","Moderate",3,"0"
35,"Male","Married","Student","More than 50000","Graduate",4,"Zomato","Casual Dining","Anytime (MonSun)","Lunch","Veg foods (Breakfast / Lunch / Dinner)","Agree",700,5,14,"Tier 1",5,"Night","Premium","Moderate",1,"1"
29,"Male","Married","Employee","25001 to 50000","Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Disagree",600,18,13,"Tier 1",4,"Evening","High","Moderate",1,"1"
26,"Male","Single","Student","No Income","Ph.D",3,"Zomato","Casual Dining","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Neutral",550,9,27,"Tier 2",1,"Morning","High","Infrequent",2,"1"
28,"Female","Single","Employee","25001 to 50000","Graduate",4,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Breakfast","Non Veg foods (Lunch / Dinner)","Strongly agree",300,7,30,"Tier 1",4,"Morning","Low","Infrequent",1,"0"
23,"Male","Single","Employee","More than 50000","Graduate",2,"Zomato","Quick Bites","Weekend (Sat & Sun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",450,15,30,"Tier 1",5,"Afternoon","High","Infrequent",1,"1"
23,"Female","Single","Student","No Income","Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Disagree",400,14,30,"Tier 1",1,"Afternoon","Medium","Infrequent",1,"1"
25,"Male","Single","Employee","25001 to 50000","Post Graduate",4,"Swiggy","Casual Dining","Weekend (Sat & Sun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",750,10,7,"Tier 1",4,"Morning","Premium","Frequent",1,"1"
20,"Male","Single","Self Employeed","More than 50000","Graduate",2,"Zomato","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",200,17,6,"Tier 2",5,"Evening","Low","Frequent",2,"1"
31,"Female","Married","Employee","25001 to 50000","Post Graduate",2,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",200,10,30,"Tier 3",4,"Morning","Low","Infrequent",3,"0"
29,"Male","Single","Employee","More than 50000","Post Graduate",6,"Zomato","Quick Bites","Weekdays (MonFri)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",300,15,6,"Tier 1",5,"Afternoon","Low","Frequent",1,"1"
34,"Female","Married","Student","No Income","Graduate",3,"Zomato","Quick Bites","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",500,9,7,"Tier 2",1,"Morning","High","Frequent",2,"1"
26,"Female","Single","Employee","More than 50000","Graduate",5,"Zomato","Quick Bites","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",300,11,2,"Tier 2",5,"Morning","Low","Very_Frequent",2,"1"
25,"Male","Single","Student","No Income","Graduate",2,"Swiggy","Desert Parlor","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Neutral",200,7,0,"Tier 1",1,"Morning","Low","Very_Frequent",1,"1"
26,"Female","Single","Employee","More than 50000","Post Graduate",3,"Swiggy","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",650,9,11,"Tier 1",5,"Morning","High","Moderate",1,"1"
23,"Female","Single","Employee","25001 to 50000","Graduate",5,"Swiggy","Desert Parlor","Anytime (MonSun)","Breakfast","Non Veg foods (Lunch / Dinner)","Agree",3000,15,30,"Tier 3",4,"Afternoon","Premium","Infrequent",3,"0"
25,"Male","Single","Employee","More than 50000","Graduate",3,"Swiggy","Quick Bites","Weekdays (MonFri)","Snacks","Non Veg foods (Lunch / Dinner)","Disagree",300,9,9,"Tier 1",5,"Morning","Low","Frequent",1,"1"
29,"Female","Married","Student","No Income","Ph.D",4,"Zomato","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",500,13,28,"Tier 1",1,"Afternoon","High","Infrequent",1,"1"
20,"Female","Single","Employee","Below Rs.10000","Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Disagree",400,10,23,"Tier 2",2,"Morning","Medium","Infrequent",2,"1"
